RSI,EMA20,EMA50,MACD,Signal,volume,Target
43.95060875610182,62356.55456963024,62549.12759373464,-367.1166587738626,-273.62845642883843,436.3094,1
45.02203536327814,62337.83508680831,62533.867688097984,-335.29614999164914,-285.96199514140056,406.81988,0
39.750756904536544,62282.917459493234,62503.56699444709,-338.35761860966886,-296.4411198350542,425.20913,0
39.209020774716215,62229.068177636735,62472.74083780211,-340.3863177421954,-305.2301594164825,276.69194,1
39.46316215794639,62181.537875004666,62443.61374612359,-337.09955703129526,-311.60403893944505,340.59519,1
43.400822379048826,62156.93045833755,62423.203795295216,-315.2740942859309,-312.33805000874224,538.2675,0
40.34090131260171,62114.74660516255,62395.39188175423,-311.26663379556703,-312.1237667661072,336.41204,0
35.09646033305151,62037.37645228993,62352.52788639132,-337.4170663595796,-317.1824266848017,512.06602,1
40.131555521558894,61990.92536159565,62321.042086924994,-334.33404838141723,-320.61275102412486,334.76343,0
36.96383482928576,61924.74104144368,62280.84396586911,-348.34269186426536,-326.158739192153,306.03442,1
38.31133986961303,61871.06760892524,62244.778320148755,-350.14886334667244,-330.9567640230569,464.90737,1
40.6530870239536,61833.14593188474,62214.50818994684,-338.6615177748099,-332.49771477340755,511.66925,1
44.975404242124114,61819.28060503858,62193.843555046966,-308.67739782221906,-327.73365138316984,937.80783,0
38.917811951298695,61766.16340455871,62157.2830234765,-315.65157851095864,-325.3172368087276,739.92297,1
40.406907831710555,61725.094508886454,62125.03427745782,-311.66403826981696,-322.5865971009455,906.84186,1
41.47774288224236,61692.80836518298,62096.056070498686,-300.90782824305643,-318.2508433293677,340.43647,0
36.60265311098734,61630.06852087984,62054.40838145952,-317.1352098090647,-318.0277166253071,826.04256,1
46.74933723463593,61623.77723317699,62035.17707238268,-283.9580847133766,-311.213790242921,1340.16125,1
55.22954980947373,61673.55273477919,62039.53954013238,-208.2685640861237,-290.6247450115616,1199.64944,1
55.87365157623168,61723.30866480021,62045.67485228405,-142.63992468771903,-261.0277809467931,902.47236,1
61.24295988468218,61810.53926815258,62068.9515247435,-54.23777217116003,-219.6697791916665,1341.51604,0
54.479830281295165,61849.471718804714,62074.848719851594,-17.855028493846476,-179.3068290521025,748.11357,0
50.8862855711649,61860.94965034712,62070.73661319075,-9.036924148444086,-145.25284807137083,885.28682,0
49.641881044767,61862.95444555216,62063.33517737935,-9.044313346224952,-118.01114112634168,641.1773,1
50.53666876292902,61870.52449835672,62058.59419003114,-4.125609004353464,-95.23403470194404,400.79146,0
48.43683410193357,61864.33264137036,62048.66931983384,-11.148098662379198,-78.41684749403107,307.34434,0
42.23521997307457,61815.93715171604,62021.51287591879,-52.366993993739015,-73.20687679397267,571.34637,1
42.67988439864623,61774.55837536213,61996.41276313766,-82.04758727052103,-74.97501888928234,578.03926,1
45.01542857235808,61749.45662532764,61977.37657634795,-94.03372060964466,-78.7867592333548,327.64659,1
50.103427210167,61755.4131372012,61970.89122041274,-78.3407627344859,-78.69755993358103,597.44488,1
55.86100232821374,61798.32712413442,61980.111564710285,-33.7219408923047,-69.70243612532578,839.43174,0
54.85734834648455,61831.629302788286,61986.69542491773,-3.007457216612238,-56.36344034358307,429.18601,1
61.76325145716334,61913.3293691894,62014.25560433272,64.28585571696021,-32.233581131474416,986.08995,1
62.19322781412978,61990.80847688565,62042.20087475105,119.25781478780118,-1.9353019476192976,589.32674,0
59.92451553964217,62049.77909813463,62064.46750711375,151.64578483147488,28.78091540819954,295.46093,1
61.99427176730384,62118.56204116943,62092.2138793838,188.21589486760783,60.66791130008121,1198.75098,0
60.89436594662792,62175.78375153425,62116.809021368754,210.52597088033508,90.639523216132,399.47563,1
64.01281487841175,62250.27958472146,62149.79651072685,244.6398370341194,121.43958597972949,546.92925,0
63.31772860058834,62314.77581474798,62180.29429461991,266.14625824253744,150.38092043229108,401.22464,1
66.17725296024264,62394.1304990577,62218.24353796815,297.55355396716914,179.8154471392667,666.36315,0
65.1845965574752,62462.11807057601,62253.13594824391,315.57860270905803,206.96807825322497,563.58106,0
